CLAMI,CLAMI+,ACL,TCLP,SQRT,CBRT,UMV,KMS,NGC,MBC,HC,NB,SVM,KNN,RF,C50
0.159,0.2,0.504,0.631,0.569,0.538,0.598,0.735,0.783,-0.179,0.685,0.792,0.792,0.783,0.917,0.838
0.742,0.317,0.684,0.728,0.826,0.805,0.828,0.42,0.549,0.689,0.239,0.850,0.832,0.958,0.958,0.916
0.227,0.451,0.723,0.796,0.702,0.807,0.81,0.766,0.766,0.642,0.391,0.918,0.947,0.972,0.973,0.973
0.166,0.389,0.77,0.688,0.665,0.675,0.697,0.64,0.64,0.636,0.547,0.774,0.890,0.640,0.886,0.925
