CLAMI,CLAMI+,ACL,TCLP,SQRT,CBRT,UMV,KMS,NGC,MBC,HC,NB,SVM,KNN,RF,C50
14.29,41.18,77.31,93.28,90.76,83.19,93.79,94.96,95.80,68.91,94.12,94.29,94.41,94.47,97.50,95.38
92.59,49.38,87.04,90.12,95.06,94.44,95.96,85.80,88.27,86.42,83.33,95.07,94.24,98.25,98.52,96.57
37.07,65.52,97.41,93.97,91.38,93.97,93.99,93.10,93.10,82.76,84.48,96.55,98.40,98.44,99.76,99.09
30.77,61.54,94.87,89.74,87.18,87.18,89.99,88.46,88.46,88.46,85.90,89.62,95.00,87.71,96.53,95.61
